town,name,drg,grant_name,grant_type,pay1990,pay1991,pay1992,pay1993,pay1994,pay1995,pay1996,pay1997,pay1998,pay1999,pay2000,pay2001,pay2002,pay2003,pay2004,pay2005,pay2006,pay2007,pay2008,pay2009,pay2010,pay2011,pay2012,pay2013
2,Ansonia                  ,H,Bilingual Education,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407,0,0,0,0,0
2,Ansonia                  ,H,Child Nutrition State Match,State,1870,1703,2353,2959,2884,4681,8808,9006,8886,8481,8271,11542,14826,15737,16318,14847,15973,16152,16380,16271,16241,15923,15601,15754
2,Ansonia                  ,H,E.E.R.A - Nonpublic,State,7737,5448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,E.E.R.A - Public,State,41021,33858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,Early Reading Success,State,0,0,0,0,0,0,0,0,0,100000,100000,100000,100000,94619,201582,267808,250995,286307,265872,0,0,0,0,0
2,Ansonia                  ,H,ECS/Alliance Dist Grants,State,5571442,5838286,6321778,6596775,7179206,7321470,9554215,9442505,9574701,9655256,9880273,10548347,11160783,11696706,11971916,12208280,12777406,12841646,14394773,14971643,12806734,12850229,14970112,15556139
2,Ansonia                  ,H,Extended School Hours,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47189,47521,47660,48609,48548,49573,53622,54044,0,0
2,Ansonia                  ,H,Healthy Foods Initiative,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31492,33175,33673,33263,32687,31977,31944
2,Ansonia                  ,H,Interdistrict Cooperative,State,0,0,0,0,0,0,0,0,0,0,82200,137728,118414,116971,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,Magnet School,State,0,0,0,0,0,0,0,0,0,0,1200,0,2400,0,0,0,0,0,0,0,900,900,900,1350
2,Ansonia                  ,H,Nonpublic Health Services,State,16727,15971,18999,22496,11398,12572,12158,12113,11837,11088,9632,12436,19793,23189,25117,21332,26186,29432,29144,11405,10870,9307,10226,10922
2,Ansonia                  ,H,Open Choice Program,State,0,0,0,0,0,0,0,0,0,12000,12000,6000,4000,4000,4000,2000,2000,2000,0,7500,10000,15000,9000,6000
2,Ansonia                  ,H,Other State Grants,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49940
2,Ansonia                  ,H,Primary Mental Health,State,0,0,0,0,0,11215,0,0,0,0,0,0,0,0,0,19000,18600,17900,18123,17290,0,0,19950,19437
2,Ansonia                  ,H,Priority School Districts,State,22131,22131,0,0,0,0,0,0,0,0,0,0,0,0,403750,1052302,1054847,1228358,1191709,1174371,1170738,1170738,940553,710369
2,Ansonia                  ,H,Professional Development,State,5336,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,Quality Enhancement,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6126,6447
2,Ansonia                  ,H,School Accountability-Summer Schl,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39618,53675,56296,56743,58229,59357,59795,60422,61567,59694
2,Ansonia                  ,H,School Building Projects,State,158037,36889,739450,237520,268691,227484,218636,284138,766728,1673599,2571054,3973952,3081632,2982761,2923928,3115691,2844015,2789969,2372678.96,2309293.08,2291686.17,2211394.8,2132519.71,5026642.62
2,Ansonia                  ,H,School Readiness -Severe Need,State,0,0,0,0,0,0,0,0,0,98880,100000,100000,100000,95868,138012,477158,567440,675648,728037,927722,943301,937965,935846,1045871
2,Ansonia                  ,H,School Readiness Minor Capital Impr,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96834,0,0,0,0,0,0
2,Ansonia                  ,H,School To Career Opportunities,State,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,Sp. Ed. - Equity,State,0,0,0,0,0,0,156623,195846,200424,182384,157069,66716,0,0,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,Sp. Ed. - Excess Cost,State,0,0,0,2660,8582,37736,9049,2200,32627,47392,36794,153957,183488,57554,93116,99835,209997,285104,508054,411608,617393,629473,687087,701820
2,Ansonia                  ,H,Sp. Ed. - Regular,State,1361869,1601630,1824880,1998366,2037174,2044367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,Sp. Ed. - State Agency Placements,State,31719,27597,28546,24072,35390,71585,26788,48900,44674,213410,396564,445845,380011,240324,131172,250136,347253,469301,498240,245518,92049,164549,38147,31243
2,Ansonia                  ,H,Sp.Ed Excs Cost Student Supplmnt,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90043,90043,90043,90043
2,Ansonia                  ,H,State Funds For Tech Infrastructure,State,0,0,0,0,0,0,0,0,0,0,0,65665,83703,31227,0,40795,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,State School Breakfast,State,0,0,0,0,0,0,11099,19390,26928,19541,24414,12250,23520,16712,16246,15068,20574,20493,19730,19109,17032,17436,16742,17360
2,Ansonia                  ,H,Student Achievement,State,0,0,0,0,0,0,10136,0,2360,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,Teacher Standards Implementation,State,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,Transitional School Districts,State,0,0,0,0,0,0,0,0,0,250000,250000,250000,125000,0,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,Transportation - Public,State,152760,171699,179785,189886,182399,163022,164327,169729,142854,142381,183912,218477,261215,229551,247264,237211,228396,254478,221630,181671,135691,147627,150409,146819
2,Ansonia                  ,H,Transportation-Nonpublic,State,35347,43837,46232,43688,37561,24777,23170,25394,21776,21374,22748,18420,25422,21896,16916,16811,20794,23019,19418,16761,23484,22571,24281,24090
2,Ansonia                  ,H,Voc Agriculture - Tuition,State,4576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,Vocational Education Equipment,State,0,0,75980,0,0,75337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ansonia                  ,H,Youth Service Bureau,State,0,0,0,0,0,0,14691,14628,14584,14545,16391,16499,16454,16219,16225,16390,16416,16439,22688,22688,22691,22693,22693,22551
3,Ashford                  ,E,Adult Education,State,2429,3029,3047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ashford                  ,E,Child Nutrition State Match,State,2527,2450,2356,2400,2330,2275,2210,1988,2133,1971,1587,1477,1221,1100,1216,1332,1490,1417,1455,1845,1976,1937,1893,1958
3,Ashford                  ,E,E.E.R.A - Public,State,5695,4307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ashford                  ,E,ECS/Alliance Dist Grants,State,1639394,1764307,1915532,1910123,1969020,2020176,2556987,2576250,2610790,2769213,2912986,2885344,3050361,3299652,3294724,3311960,3437445,3483130,3748546,3893083,3433120,3317583,3881841,3931389
3,Ashford                  ,E,Healthy Foods Initiative,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209,4072,4300,4222,4115,4254
3,Ashford                  ,E,Primary Mental Health,State,0,0,0,0,0,0,0,0,0,0,20000,18797,0,17451,16090,0,15000,16030,14250,15170,15520,15680,15015,15949
3,Ashford                  ,E,Professional Development,State,1183,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ashford                  ,E,Safe Learning Grant,State,0,0,0,0,0,0,0,0,0,0,0,0,10000,9500,0,0,0,0,0,0,0,0,0,0
3,Ashford                  ,E,School Building Projects,State,112227,112045,111971,195681,413900,291639,778984,205460,193021,187243,177981,173218,162789,156968,143578,110779,83682,125078,118877.15,344008.84,124057.54,105899.22,0,0
3,Ashford                  ,E,School Readiness -Severe Need,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107000,107000,107000,107000,107000,107000,107000,107000,107000
3,Ashford                  ,E,Sp. Ed. - Equity,State,0,0,0,0,0,0,26781,44858,63187,26921,23345,5820,35060,0,0,0,34770,60171,0,0,0,0,0,0
3,Ashford                  ,E,Sp. Ed. - Excess Cost,State,0,0,0,0,0,0,0,8894,36631,19525,21505,26977,86766,62988,87531,204006,218703,305632,345357,317462,350571,234223,224653,79793
3,Ashford                  ,E,Sp. Ed. - Regular,State,255655,276478,321423,321761,329323,333624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ashford                  ,E,Sp. Ed. - State Agency Placements,State,7038,1718,12762,9925,0,0,0,18416,0,82554,30233,0,0,28404,13696,73327,5451,0,0,0,0,0,0,0
3,Ashford                  ,E,Sp.Ed Excs Cost Student Supplmnt,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28106,28106,28106,28106
3,Ashford                  ,E,State Funds For Tech Infrastructure,State,0,0,0,0,0,0,0,0,109420,0,0,27377,16627,30269,0,0,0,0,0,0,0,0,0,0
3,Ashford                  ,E,Student Achievement,State,0,0,0,0,0,0,3589,0,1260,0,7625,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ashford                  ,E,Teacher Standards Implementation,State,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ashford                  ,E,Transportation - Public,State,90387,98577,146219,160676,130019,90245,109133,110638,116046,132111,121492,130104,152245,129352,116117,99378,77161,84786,74172,77630,42310,49957,72381,69787
3,Ashford                  ,E,Youth Service Bureau,State,0,0,0,0,0,0,0,0,0,12000,14000,14000,14000,28000,14000,14000,14000,14000,17300,17300,17300,17300,17300,17226
4,Avon                     ,B,Adult Education,State,267,267,361,559,477,559,626,609,625,632,600,651,829,702,867,617,1063,1164,1453,1485,1505,1552,1454,2018
4,Avon                     ,B,Child Nutrition State Match,State,9103,9674,9711,9427,9389,9035,8209,8232,8111,7978,6406,6141,6770,7845,8346,9641,10368,10209,10384,9797,10366,10624,9705,9003
4,Avon                     ,B,E.E.R.A - Public,State,6223,4862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Avon                     ,B,ECS/Alliance Dist Grants,State,684328,711701,326026,19203,19203,19203,136488,123653,112872,107422,108582,109100,314024,578091,645790,779236,808870,788010,1191189,1243373,932050,1051601,1254193,1215717
4,Avon                     ,B,Hold Harmless,State,4447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Avon                     ,B,Institute For Teaching And Learning,State,0,0,0,0,0,0,10000,2000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Avon                     ,B,Interdistrict Cooperative,State,0,0,0,0,0,48945,80000,76000,0,0,113479,146479,83479,83479,96272,72157,88197,82023,0,0,0,0,0,0
4,Avon                     ,B,Magnet School,State,0,0,0,0,0,0,0,0,0,0,0,4800,12000,24000,30000,36000,42000,44200,55900,22100,28000,0,0,0
4,Avon                     ,B,Open Choice Program,State,0,0,0,0,0,0,0,0,0,10000,35435,59160,70566,79975,65801,78403,83767,92380,139459,141290,167771,210812,382742,442000
4,Avon                     ,B,Professional Development,State,2807,2797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Avon                     ,B,School Building Projects,State,340836,1214688,1409039,933044,758768,1009217,1589293,1048087,978604,1178876,1189226,3120783,2704798,1322360,671590,543408,492669,470601,6235535.73,973161.23,586214.63,536024.47,194524.37,0
4,Avon                     ,B,Sheff Settlement,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45950,45950,102300,182375
4,Avon                     ,B,Sp. Ed. - Excess Cost,State,0,8472,5175,0,0,0,0,34994,83920,56558,69861,190616,200411,114640,196792,220261,407482,509589,620533,799681,765545,822048,822584,937718
4,Avon                     ,B,Sp. Ed. - Regular,State,396020,396020,223608,88327,92017,121502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Avon                     ,B,Sp. Ed. - State Agency Placements,State,2767,0,10058,16598,16336,0,0,0,0,5768,21610,121680,91601,52828,46102,80975,57527,27526,48283,0,0,0,46075,4987
4,Avon                     ,B,Sp.Ed Excs Cost Student Supplmnt,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8053,8053,8053,8053
4,Avon                     ,B,State Funds For Tech Infrastructure,State,0,0,0,0,0,0,0,0,0,0,102703,9992,10000,14925,0,42362,0,25000,0,0,0,0,0,0
4,Avon                     ,B,Student Achievement,State,0,0,0,0,0,0,2815,0,3647,6700,8377,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Avon                     ,B,Teacher Standards Implementation,State,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Avon                     ,B,Transportation - Public,State,79729,80518,83612,37271,9101,14124,16349,4829,4334,1000,1000,7149,5517,12979,14291,3057,4387,26396,18691,20815,12130,12019,8594,19676
4,Avon                     ,B,Voc Agriculture - Tuition,State,3181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Avon                     ,B,Youth Service Bureau,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250,20250,20250,20250,20250,20110
5,Barkhamsted              ,C,Adult Education,State,1032,1115,1037,789,548,683,783,888,936,1013,1076,1062,1134,1116,1207,1071,1305,1366,1650,1537,1696,1624,1578,1659
5,Barkhamsted              ,C,Child Nutrition State Match,State,1586,992,1899,1697,1690,1574,1574,1392,1457,1314,1357,1288,1289,1357,1288,1171,1101,1190,1176,1241,1168,1131,1097,1126
5,Barkhamsted              ,C,ECS/Alliance Dist Grants,State,933321,1060772,1154306,1090020,1095044,1095044,1243859,1190236,1145929,1122350,1160485,1145402,1165689,1175025,1130490,1163752,1227144,1226353,1547762,1615866,1385339,1382645,1614029,1651144
5,Barkhamsted              ,C,Healthy Foods Initiative,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2383,2446
5,Barkhamsted              ,C,Interdistrict Cooperative,State,0,0,0,0,0,0,0,0,0,0,11250,11250,10125,10125,8909,8909,0,0,0,0,0,0,0,0
5,Barkhamsted              ,C,Professional Development,State,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Barkhamsted              ,C,School Building Projects,State,220487,229887,221783,213680,298524,228066,220239,182968,162726,182556,347282,177816,193903,155186,148209,146306,134415,127654,121163.16,114672.26,0,0,0,0
5,Barkhamsted              ,C,Sp. Ed. - Equity,State,0,0,0,0,0,0,0,0,1584,1326,0,0,7325,0,0,0,895,0,0,0,0,0,0,0
5,Barkhamsted              ,C,Sp. Ed. - Excess Cost,State,0,0,0,0,0,0,0,0,0,0,0,0,62695,48332,55251,47635,65946,0,0,8368,35289,14428,10224,12779
5,Barkhamsted              ,C,Sp. Ed. - Regular,State,95127,101709,111421,84771,56898,70483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Barkhamsted              ,C,Sp. Ed. - State Agency Placements,State,0,0,0,0,0,0,0,0,0,15579,10314,9680,0,0,15131,0,0,0,0,0,0,451,9040,0
5,Barkhamsted              ,C,Sp.Ed Excs Cost Student Supplmnt,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15575,15575,15575,15575
5,Barkhamsted              ,C,State Funds For Tech Infrastructure,State,0,0,0,0,0,0,0,0,0,0,0,10000,15441,29908,0,0,0,0,0,0,0,0,0,0
5,Barkhamsted              ,C,Student Achievement,State,0,0,0,0,0,0,977,0,0,1612,2675,2410,0,0,0,0,0,0,0,0,0,0,0,0
5,Barkhamsted              ,C,Teacher Standards Implementation,State,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Barkhamsted              ,C,Transportation - Public,State,40459,41314,40447,30679,18721,24969,29409,32658,34240,37117,39510,37697,40544,37447,38313,32655,38593,39090,44421,38246,23460,22788,21319,21654
6,Beacon Falls             ,E,ECS/Alliance Dist Grants,State,1637311,1863107,2077539,2141168,2248345,2316211,2710383,2683045,2740430,2828430,2852931,2976328,3064283,3130761,3164047,3269680,3414303,3437115,3874138,4044635,3467575,3467752,4044804,4109097
7,Berlin                   ,D,Adult Education,State,2866,3375,3697,4309,3941,3945,4453,4143,4569,4735,6012,6093,7015,7833,7676,8666,10873,12347,13048,12182,14590,14298,15957,12509
7,Berlin                   ,D,Child Nutrition State Match,State,11663,11972,10982,11016,11473,11395,10543,10102,10905,11624,11364,11946,12933,13048,13051,13201,12986,12320,11873,11402,10876,10133,9568,9562
7,Berlin                   ,D,E.E.R.A - Public,State,13257,11571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Berlin                   ,D,ECS/Alliance Dist Grants,State,3004519,3107445,3117453,2777457,2777225,2777225,3225066,3064469,3089545,3143002,3216718,3310465,3651662,4146547,4107735,4434846,4698428,4735915,5983437,6205239,5223255,5297652,6143835,6256477
7,Berlin                   ,D,Interdistrict Cooperative,State,0,0,0,0,0,0,0,0,25564,25564,30000,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Berlin                   ,D,Magnet School,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0
7,Berlin                   ,D,Nonpublic Health Services,State,34720,24456,5932,5561,5469,6192,6227,8295,8547,10313,10601,12955,14266,19513,22615,23358,35916,37479,32951,30781,28013,25741,28296,25564
7,Berlin                   ,D,Open Choice Program,State,0,0,0,0,0,0,0,0,0,0,8000,10000,14000,16000,16000,18000,22000,30000,47500,70000,80000,134992,190671,558000
7,Berlin                   ,D,Professional Development,State,4566,3989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Berlin                   ,D,School Building Projects,State,133082,773924,413219,956943,944166,1140459,1145914,1033740,898277,1732582,1808133,1315857,847861,792831,712991,529165,527588,593974,290707.44,118329.55,356829,0,617449,1396691.6
7,Berlin                   ,D,Sheff Settlement,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24200,24200,86625,163075
7,Berlin                   ,D,Sp. Ed. - Excess Cost,State,155060,176452,39985,41333,31111,48393,54953,70580,122889,97363,89208,54044,22234,55475,222557,331725,344935,442835,590161,633190,568547,562783,487111,412330
7,Berlin                   ,D,Sp. Ed. - Regular,State,681231,668727,557155,500779,477543,497946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Berlin                   ,D,Sp. Ed. - State Agency Placements,State,8684,4195,10097,0,1748,0,15744,760,13629,20145,25729,33425,93613,108996,70183,46650,52206,56660,13240,78164,14200,94426,215054,79391
7,Berlin                   ,D,Sp.Ed Excs Cost Student Supplmnt,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79218,79218,79218,79218
7,Berlin                   ,D,State Funds For Tech Infrastructure,State,0,0,0,0,0,0,0,0,0,0,0,10000,107587,30000,0,0,0,146313,0,0,0,0,0,0
7,Berlin                   ,D,State School Breakfast,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6249
7,Berlin                   ,D,Student Achievement,State,0,0,0,0,0,0,7948,2149,4825,5355,0,15613,0,0,0,0,0,0,0,0,0,0,0,0
7,Berlin                   ,D,Teacher Standards Implementation,State,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Berlin                   ,D,Transportation - Public,State,137848,97856,103610,84855,64556,65643,76415,76522,84877,95922,120699,120050,121726,124845,113271,140432,189097,224344,193359,222790,119293,126687,115847,87641
7,Berlin                   ,D,Transportation-Nonpublic,State,10536,10761,9970,6626,4075,3787,3526,3064,4003,4598,6337,7111,6933,8608,5992,6684,9326,11532,10215,11078,10190,9379,10289,7225
7,Berlin                   ,D,Voc Agriculture - Tuition,State,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Berlin                   ,D,Youth Service Bureau,State,0,0,0,0,0,0,12000,12000,12000,12000,14000,14000,14000,14000,14000,14000,14000,14000,20250,20250,20250,20250,20250,20110
8,Bethany                  ,C,Child Nutrition State Match,State,2615,2462,2553,2418,2072,2289,2399,2290,2177,2092,2267,2527,2656,2545,2598,2500,2428,2450,2271,2384,2386,1880,1741,1505
8,Bethany                  ,C,E.E.R.A - Public,State,2698,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bethany                  ,C,ECS/Alliance Dist Grants,State,1492145,1509953,1556498,1460471,1460437,1460437,1617523,1543439,1481594,1437169,1446154,1446154,1470493,1534367,1464606,1545669,1581702,1586002,1945969,2030832,1732318,1744913,2038762,2046926
8,Bethany                  ,C,Healthy Foods Initiative,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5238,5008,5263,5193,4096,3783,3268
8,Bethany                  ,C,Open Choice Program,State,0,0,0,0,0,0,0,0,0,6000,10000,4000,4000,6000,4000,8000,8000,6000,5000,10000,2500,10000,12000,15000
8,Bethany                  ,C,Professional Development,State,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bethany                  ,C,School Building Projects,State,39727,22417,8392,8815,21165,6845,6847,34571,174489,243282,222916,431607,217136,220157,248782,204160,194404,196260,199790.47,192622.99,187450.14,179940.28,163000.44,157386.71
8,Bethany                  ,C,Sp. Ed. - Equity,State,0,0,0,0,0,0,18435,20712,10467,7387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bethany                  ,C,Sp. Ed. - Excess Cost,State,0,0,0,0,0,0,7318,8838,8919,0,2203,159,1058,4694,0,0,0,14164,22017,63519,113292,184557,157686,28370
8,Bethany                  ,C,Sp. Ed. - Regular,State,94594,94594,109829,133015,131295,118538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bethany                  ,C,Sp. Ed. - State Agency Placements,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52837,0,0
8,Bethany                  ,C,Sp.Ed Excs Cost Student Supplmnt,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8932,8932,8932,8932
8,Bethany                  ,C,State Funds For Tech Infrastructure,State,0,0,0,0,0,0,0,0,75850,0,0,10000,19223,29697,0,14535,0,0,0,0,0,0,0,0
8,Bethany                  ,C,Student Achievement,State,0,0,0,0,0,0,1110,0,1071,0,1549,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bethany                  ,C,Teacher Standards Implementation,State,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bethany                  ,C,Transportation - Public,State,38938,45447,39206,38584,34140,23704,27437,24855,23794,26502,27244,25376,28613,16112,24996,20314,26505,26903,32352,25920,13447,13681,13456,9802
9,Bethel                   ,D,Adult Education,State,2207,3149,7550,7315,7541,7655,7139,7382,7273,8823,3299,4821,5345,5576,4761,4711,6017,8455,8984,11456,10790,9896,10417,10504
9,Bethel                   ,D,Child Nutrition State Match,State,0,0,0,0,0,12441,11957,12263,11907,12687,12946,13021,12470,11726,10753,10112,10375,10747,10291,10623,10351,10746,10095,10979
9,Bethel                   ,D,E.E.R.A - Public,State,23662,19058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bethel                   ,D,ECS/Alliance Dist Grants,State,4781903,5178393,5895921,6152394,6868404,6868404,7753942,7430289,7156950,7010717,6988904,6981967,7121922,7118191,6875202,7149036,7370981,7364577,7807750,8160712,6987511,7035099,8177221,8210370
9,Bethel                   ,D,Healthy Foods Initiative,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22978,22696,23449,22524,23420,21938,23851
9,Bethel                   ,D,Interdistrict Cooperative,State,0,0,0,0,0,0,0,0,0,0,0,84720,0,0,0,0,0,0,0,0,0,0,0,0
9,Bethel                   ,D,Magnet School,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6150,9900,19800,24545,23400
9,Bethel                   ,D,Nonpublic Health Services,State,4498,3243,3272,3606,3632,3702,3160,5190,5549,6368,6566,6333,6978,8260,7185,5882,5283,8121,6825,7566,7273,6156,6696,7268
